features_ID,bedrooms,squareFootage,bathrooms,lotSize,features
0,0.0,0.0,0.0,0.0,{}
1,2.0,1530.0,1.5,1200.0,"{'architectureType': 'Row End or Row Middle', 'exteriorType': 'Other', 'floorCount': 2, 'heating': True, 'heatingType': 'Central', 'roofType': 'Shingle', 'roomCount': 6, 'unitCount': 1}"
2,0.0,0.0,0.0,0.0,{}
3,4.0,3902.0,2.0,43560.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 8}"
4,3.0,1500.0,2.0,20473.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'OTHER', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1}"
5,3.0,1392.0,1.5,3780.0,"{'floorCount': 1, 'garage': True, 'garageType': 'Undefined Type', 'cooling': True, 'coolingType': 'Central', 'heatingType': 'Forced Air', 'architectureType': 'Traditional', 'roomCount': 5, 'exteriorType': 'Hardboard/plywood', 'roofType': 'Composition Shingle'}"
6,0.0,0.0,0.0,0.0,{}
7,0.0,0.0,0.0,0.0,{}
8,5.0,2842.0,2.5,0.0,unknown
9,3.0,1580.0,2.0,6774.0,unknown
10,2.0,30000.0,1.0,0.0,unknown
11,0.0,0.0,0.0,0.0,{}
12,3.0,1609.0,3.5,1696.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 7, 'unitCount': 1}"
13,0.0,0.0,0.0,0.0,{}
14,4.0,2844.0,3.5,0.0,unknown
15,3.0,1417.0,2.0,18731.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Raised', 'garage': True, 'garageSpaces': 2, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roomCount': 6, 'unitCount': 1}"
16,2.0,1364.0,2.0,0.0,"{'architectureType': 'Other', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}"
17,0.0,938.0,2.0,0.0,"{'architectureType': 'Mobile Home', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Metal', 'unitCount': 1}"
18,0.0,0.0,0.0,8276.0,{}
19,4.0,1568.0,2.0,431244.0,"{'cooling': True, 'exteriorType': 'Siding', 'floorCount': 1, 'foundationType': 'Footing, Continuous / Strip', 'roofType': 'Metal', 'roomCount': 6, 'unitCount': 1}"
20,3.0,1456.0,1.5,9583.0,"{'architectureType': 'Colonial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'roofType': 'Asphalt', 'roomCount': 6, 'unitCount': 1}"
21,3.0,1222.0,2.0,4452.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 5}"
22,2.0,936.0,1.0,53143.0,"{'architectureType': 'Ranch', 'exteriorType': 'Other', 'floorCount': 1, 'foundationType': 'Raised', 'roomCount': 5}"
23,0.0,1104.0,2.0,5227.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
24,4.0,2984.0,2.5,17402.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}"
25,2.0,900.0,1.0,20998.0,{}
26,4.0,2904.0,4.0,104544.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}"
27,0.0,0.0,0.0,0.0,{}
28,0.0,0.0,0.0,0.0,{}
29,0.0,0.0,0.0,0.0,{}
30,3.0,1684.0,2.0,11064.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'unitCount': 1}"
31,0.0,0.0,0.0,0.0,{}
32,2.0,1095.0,1.0,11326.0,"{'architectureType': 'Other', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'foundationType': 'Crawl / Raised', 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Electric', 'roofType': 'Composition Shingle', 'roomCount': 6, 'unitCount': 1}"
33,5.0,3647.0,4.0,16117.0,"{'exteriorType': 'Other', 'fireplace': True, 'floorCount': 2, 'heating': True, 'heatingType': 'Central'}"
34,0.0,0.0,0.0,0.0,{}
35,4.0,1748.0,2.0,19907.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'foundationType': 'Masonry', 'garage': True, 'garageType': 'Basement', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt Shingle', 'unitCount': 1}"
36,3.0,5210.0,4.0,65460.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Masonry', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'pool': True, 'roomCount': 9, 'unitCount': 1}"
37,3.0,1338.0,2.0,6098.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 5, 'unitCount': 1}"
38,3.0,1200.0,1.0,0.0,{}
39,4.0,2094.0,2.5,6895.0,"{'architectureType': 'Conventional', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Baseboard', 'roofType': 'Composition Shingle', 'unitCount': 1, 'viewType': 'River'}"
40,4.0,1820.0,2.0,27704.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': '2 Story', 'floorCount': 2, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 7, 'unitCount': 1}"
41,0.0,0.0,0.0,0.0,unknown
42,3.0,1983.0,2.0,7915.0,"{'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Attached', 'roofType': 'Shingle', 'unitCount': 1}"
43,0.0,1224.0,2.0,9240.0,"{'floorCount': 1, 'foundationType': 'OTHER', 'heating': True, 'heatingType': 'Floor / Wall', 'roofType': 'Composition Shingle', 'exteriorType': 'Wood'}"
44,3.0,1274.0,2.0,21700.0,"{'architectureType': 'Cape Cod', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}"
45,3.0,1851.0,2.5,6805.0,"{'garage': True, 'garageSpaces': 3, 'garageType': 'Garage', 'unitCount': 1}"
46,3.0,1394.0,2.0,6970.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Other', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'unitCount': 1}"
47,3.0,1400.0,1.5,7833.0,"{'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}"
48,3.0,970.0,2.0,7998.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Central', 'unitCount': 1}"
49,4.0,1326.0,3.0,9583.0,"{'architectureType': 'A-Frame', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'foundationType': 'OTHER', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 9, 'unitCount': 1}"
50,0.0,0.0,0.0,0.0,{}
51,0.0,0.0,0.0,0.0,{}
52,0.0,1452.0,2.0,3300.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Built-up (Layered Asphalt)', 'unitCount': 2}"
53,2.0,1230.0,2.0,1210.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 4, 'unitCount': 1}"
54,3.0,1095.0,2.0,7500.0,"{'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'roofType': 'Other', 'unitCount': 1}"
